name,attributes,price,rating,description,country
Анталия,"Пляж;wifi;All Inclusive",550,4.5,Семейный отдых,Турция
Бодрум,"Пляж;Элита;wifi",1200,4.8,Премиальный курорт,Турция
Стамбул,"История;Шопинг;Культура",450,4.7,Город двух континентов,Турция
Мармарис,"Пляж;Ночная жизнь",600,4.4,Активный отдых,Турция
Кемер,"Пляж;Горы;wifi",500,4.3,Природа и море,Турция
Рим,"Экскурсии;История;wifi",750,4.9,Вечный город,Италия
Милан,"Шопинг;Мода;wifi",900,4.6,Столица стиля,Италия
Венеция,"Романтика;История;Каналы",1100,4.8,Город на воде,Италия
Флоренция,"Искусство;Музеи",850,4.9,Колыбель Возрождения,Италия
Неаполь,"Пицца;История;Море",650,4.5,Родина пиццы,Италия
Дубай,"Шопинг;pool;wifi;Пляж",850,4.8,Город будущего,ОАЭ
Абу-Даби,"Культура;Пляж;pool",950,4.7,Роскошь и музеи,ОАЭ
Шарджа,"Семья;Культура;Музеи",500,4.2,Культурная столица,ОАЭ
Рас-эль-Хайма,"Пляж;Горы;Relax",700,4.5,Тихий отдых,ОАЭ
Париж,"Романтика;Мода;Музеи",1000,4.8,Город огней,Франция
Ницца,"Пляж;Элита;Море",1300,4.7,Лазурный берег,Франция
Лион,"Гастрономия;История",800,4.6,Столица еды,Франция
Барселона,"Пляж;Архитектура;wifi",850,4.8,Город Гауди,Испания
Мадрид,"Музеи;Шопинг;Ночная жизнь",750,4.7,Сердце Испании,Испания
Ибица,"Клубы;Пляж;Вечеринки",1400,4.5,Остров вечеринок,Испания
Тенерифе,"Океан;Вулкан;Nature",900,4.9,Вечная весна,Испания
Берлин,"История;Техно;Культура",600,4.5,Город свободы,Германия
Мюнхен,"Пиво;История;Авто",800,4.7,Столица Баварии,Германия
Прага,"Пиво;Архитектура;Уют",400,4.8,Сказочный город,Чехия
Вена,"Музыка;Кофе;Дворцы",950,4.9,Имперский стиль,Австрия
Лиссабон,"Океан;История;wifi",700,4.7,Город на холмах,Португалия
Токио,"Технологии;Еда;Аниме",1500,4.9,Мегаполис будущего,Япония
Киото,"Храмы;Традиции;Сакура",1300,4.9,Душа Японии,Япония
Бангкок,"Еда;Храмы;Шопинг",350,4.6,Город контрастов,Таиланд
Пхукет,"Пляж;Острова;wifi",600,4.7,Райский отдых,Таиланд
Паттайя,"Развлечения;Море",400,4.1,Яркая жизнь,Таиланд
Бали,"Серфинг;Йога;Природа",800,4.8,Остров богов,Индонезия
Сеул,"K-pop;Технологии;Еда",1100,4.8,Динамичный город,Корея
Нью-Йорк,"Небоскребы;Шопинг;Движ",1600,4.7,Столица мира,США
Лос-Анджелес,"Кино;Пляж;Голливуд",1400,4.6,Город звезд,США
Лондон,"История;Музеи;Биг-Бен",1200,4.8,Туманный Альбион,Англия